,purity,silhouette,nmi,embedding_dim,combined_score
BGE-M3,1.0,0.10486356804159043,1.0,1024.0,0.7016211893471969
Voyage-3-large,0.9083333333333333,0.07235994953474174,0.8516684970589892,1024.0,0.6107872599756882
OpenAI-ada,0.7666666666666667,0.07064930663001906,0.7667874210144665,1536.0,0.5347011314370508
OpenAI-3-large,0.7333333333333333,0.07340299655973664,0.7499785919272804,3072.0,0.5189049739401167
AraBERT-base,0.6166666666666667,0.09229382466727237,0.5964590937216211,768.0,0.4351398616851867
BERT,0.5416666666666666,0.07313336525828298,0.35730923452693647,768.0,0.32403642215062867
Gemma-300M,0.49166666666666664,0.08424309112873721,0.35121439659002845,768.0,0.3090413847951441
NeoBERT,0.48333333333333334,0.0393821455886352,0.3842803879427373,768.0,0.3023319556215686
E5-large-v2,0.4666666666666667,0.021616278603737007,0.3500190413721411,1024.0,0.2794339955475149
RoBERTa,0.43333333333333335,0.0695406706286656,0.2837826330759101,768.0,0.26221887901263635
AraBERT-large,0.35833333333333334,0.14717694224706512,0.1592580439020227,1024.0,0.2215894398274737
ModernBERT,0.35,0.08366208967834815,0.17272703744928364,768.0,0.20212970904254393
