,cos_V_A,cos_V_D,cos_A_D,abs_cos_V_A,abs_cos_V_D,abs_cos_A_D,mean_abs_cos,orthogonality_score
Voyage-3-large,-0.018406305513819977,0.025792547518423015,0.07078370253076345,0.018406305513819977,0.025792547518423015,0.07078370253076345,0.03832751852100215,0.9616724814789979
OpenAI-ada,-0.016857039373455524,-0.0389515544993437,0.06740718656738395,0.016857039373455524,0.0389515544993437,0.06740718656738395,0.041071926813394395,0.9589280731866056
OpenAI-3-large,0.02085341628767735,-0.046354304758396185,0.08642065623040002,0.02085341628767735,0.046354304758396185,0.08642065623040002,0.05120945909215785,0.9487905409078421
E5-large-v2,0.09081441199735076,-0.009241467658617813,0.06927285057169122,0.09081441199735076,0.009241467658617813,0.06927285057169122,0.056442910075886595,0.9435570899241134
AraBERT-base,0.10255292068677938,-0.026997652561464802,0.16249522344686404,0.10255292068677938,0.026997652561464802,0.16249522344686404,0.0973485988983694,0.9026514011016306
BGE-M3,0.20217611319753087,-0.1095606250357034,0.057959342511518075,0.20217611319753087,0.1095606250357034,0.057959342511518075,0.12323202691491746,0.8767679730850826
RoBERTa,0.19261346782486302,-0.17172044782435172,-0.12437889496528401,0.19261346782486302,0.17172044782435172,0.12437889496528401,0.16290427020483292,0.8370957297951671
NeoBERT,-0.22950400699768525,0.016903965145960556,-0.27115435610759825,0.22950400699768525,0.016903965145960556,0.27115435610759825,0.17252077608374802,0.827479223916252
Gemma-300M,0.08104917063290713,0.38723564795210796,0.0598868971279607,0.08104917063290713,0.38723564795210796,0.0598868971279607,0.17605723857099195,0.823942761429008
BERT,0.5071312471844345,0.17223219960491046,0.27866539355213477,0.5071312471844345,0.17223219960491046,0.27866539355213477,0.3193429467804932,0.6806570532195069
ModernBERT,-0.5211399853570238,0.3696436581409432,-0.196601616087518,0.5211399853570238,0.3696436581409432,0.196601616087518,0.36246175319516166,0.6375382468048383
AraBERT-large,-0.05295571645832588,-0.36972142960181975,-0.6663064862353202,0.05295571645832588,0.36972142960181975,0.6663064862353202,0.3629945440984886,0.6370054559015115
