model,type,cos_V_A,angle_V_A,cos_V_D,angle_V_D,cos_A_D,angle_A_D,mean_abs_cos,orthogonality_score
BERT,original,0.5071312471844347,59.52706822439898,0.1722321996049104,80.08237070928222,0.27866539355213454,73.81943262992247,0.3193429467804932,0.6806570532195069
BERT,orthogonalized,7.632783294297952e-17,90.0,1.3877787807814457e-17,90.0,-5.1174342541315815e-17,90.0,4.712665443070327e-17,1.0
RoBERTa,original,0.19261346782486305,78.8946573673629,-0.17172044782435175,99.88786461169668,-0.12437889496528401,97.14488917420317,0.16290427020483292,0.8370957297951671
RoBERTa,orthogonalized,-3.729655473350136e-17,90.0,-3.469446951953615e-18,90.0,-2.9490299091605727e-17,90.0,2.34187669256869e-17,1.0
NeoBERT,original,-0.22950400699768533,103.26787233365107,0.016903965145960497,89.0314280090866,-0.2711543561075983,105.73296930867859,0.17252077608374805,0.827479223916252
NeoBERT,orthogonalized,3.469446951953614e-17,90.0,-1.214306433183765e-17,90.0,2.42861286636753e-17,90.0,2.3707887505016363e-17,1.0
ModernBERT,original,-0.5211399853570234,121.4087505682607,0.36964365814094335,68.30635755861158,-0.19660161608751792,101.3383007547249,0.36246175319516155,0.6375382468048385
ModernBERT,orthogonalized,1.491862189340054e-16,90.0,-1.5439038936193583e-16,90.0,6.938893903907228e-18,90.0,1.0350516739994949e-16,0.9999999999999999
AraBERT-base,original,0.10255292068677942,84.1138019318712,-0.02699765256146485,91.54703951997665,0.16249522344686396,80.64824230521839,0.0973485988983694,0.9026514011016306
AraBERT-base,orthogonalized,8.673617379884035e-19,90.0,1.734723475976807e-17,90.0,6.938893903907228e-18,90.0,8.384496800554567e-18,1.0
AraBERT-large,original,-0.052955716458325926,93.03555895673689,-0.36972142960181964,111.69843815523777,-0.6663064862353206,131.7826336780398,0.36299454409848875,0.6370054559015113
AraBERT-large,orthogonalized,3.1225022567582534e-17,90.0,2.4372864837474145e-16,89.99999999999999,6.591949208711867e-17,90.0,1.136243876764809e-16,0.9999999999999999
BGE-M3,original,0.2021761131975311,78.33575886638633,-0.10956062503570331,96.28998815603454,0.05795934251151808,86.67731220761212,0.12323202691491748,0.8767679730850825
BGE-M3,orthogonalized,-7.11236625150491e-17,90.0,5.204170427930421e-18,90.0,-1.2143064331837651e-17,90.0,2.9490299091605727e-17,1.0
E5-large-v2,original,0.09081441199735063,84.78953866399877,-0.00924146765861784,90.52950463056068,0.06927285057169118,86.02777676086156,0.05644291007588655,0.9435570899241135
E5-large-v2,orthogonalized,-1.9081958235744884e-17,90.0,2.6454533008646314e-17,90.0,1.4311468676808665e-17,90.0,1.994931997373329e-17,1.0
Gemma-300M,original,0.08104917063290712,85.35112536639342,0.38723564795210813,67.21739767037975,0.05988689712796073,86.56667922377007,0.17605723857099198,0.823942761429008
Gemma-300M,orthogonalized,8.673617379884035e-18,90.0,-1.5265566588595902e-16,90.0,-2.0816681711721685e-17,90.0,6.071532165918825e-17,0.9999999999999999
OpenAI-3-large,original,0.020853416287677385,88.80510064430153,-0.046354304758396095,92.65685807953244,0.08642065623039989,85.04227687570753,0.051209459092157794,0.9487905409078422
OpenAI-3-large,orthogonalized,8.673617379884035e-19,90.0,-1.214306433183765e-17,90.0,2.688821387764051e-17,90.0,1.3299546649155522e-17,1.0
OpenAI-ada,original,-0.016857039373455503,90.9658829590493,-0.038951554499343614,92.23232441035053,0.06740718656738397,86.13492194610545,0.04107192681339436,0.9589280731866057
OpenAI-ada,orthogonalized,9.54097911787244e-18,90.0,5.2041704279304205e-18,90.0,2.6020852139652106e-17,90.0,1.3588667228484988e-17,1.0
Voyage-3-large,original,-0.01840630551381999,91.05466318001027,0.025792547518422977,88.52203198234466,0.07078370253076338,85.94099827113449,0.038327518521002114,0.9616724814789979
Voyage-3-large,orthogonalized,1.669671345627677e-17,90.0,1.734723475976807e-17,90.0,-1.7347234759768075e-18,90.0,1.1926223897340549e-17,1.0
