,purity,silhouette,nmi,embedding_dim,combined_score
BGE-M3,1.0,0.11974176178382481,1.0,1024.0,0.7065805872612749
Voyage-3-large,1.0,0.1045888143969642,1.0,1024.0,0.7015296047989881
RoBERTa,0.9833333333333333,0.11133223379198523,0.9692811081892047,768.0,0.687982225104841
OpenAI-3-large,0.8916666666666667,0.09891288703180345,0.8828239304013629,3072.0,0.6244678280332777
OpenAI-ada,0.8666666666666667,0.09395496262854254,0.8584418778352556,1536.0,0.6063545023768216
E5-large-v2,0.8833333333333333,0.044314361567434256,0.849733356009591,1024.0,0.5924603503034529
BERT,0.825,0.09992106324288684,0.8330346923694436,768.0,0.5859852518707768
NeoBERT,0.75,0.13171306302271238,0.7888694197936674,768.0,0.55686082760546
Gemma-300M,0.625,0.09186149486621834,0.6005035787618002,768.0,0.43912169120933947
ModernBERT,0.5833333333333334,0.09278813962410098,0.5705731081753872,768.0,0.4155648603776072
AraBERT-base,0.5166666666666667,0.11285730488144746,0.4827685209101535,768.0,0.3707641641527559
AraBERT-large,0.275,0.28129562110461254,0.09908374128683266,1024.0,0.21845978746381509
