,cos_V_A,cos_V_D,cos_A_D,abs_cos_V_A,abs_cos_V_D,abs_cos_A_D,mean_abs_cos,orthogonality_score
Gemma-300M,0.012843062372152741,0.07877808365285431,-0.041359790327229404,0.012843062372152741,0.07877808365285431,0.041359790327229404,0.04432697878407882,0.9556730212159212
OpenAI-3-large,0.01712172146652943,-0.016620599169767946,0.1022449881753188,0.01712172146652943,0.016620599169767946,0.1022449881753188,0.045329102937205386,0.9546708970627946
OpenAI-ada,0.08028685433509848,0.06323283882242939,0.07411106938387692,0.08028685433509848,0.06323283882242939,0.07411106938387692,0.07254358751380159,0.9274564124861984
Voyage-3-large,0.05133640633335685,0.047424374471699525,0.1291411189117972,0.05133640633335685,0.047424374471699525,0.1291411189117972,0.07596729990561786,0.9240327000943821
E5-large-v2,0.09812063095322024,-0.067951055604255,0.07546692270568565,0.09812063095322024,0.067951055604255,0.07546692270568565,0.08051286975438697,0.919487130245613
BGE-M3,0.1764904557146262,-0.04588564739072242,0.0940076616788919,0.1764904557146262,0.04588564739072242,0.0940076616788919,0.10546125492808017,0.8945387450719198
NeoBERT,-0.06583727603944008,0.0895229912899984,0.20098117851886882,0.06583727603944008,0.0895229912899984,0.20098117851886882,0.11878048194943576,0.8812195180505642
RoBERTa,-0.03145178332596664,0.0788929448673839,0.2524881587387828,0.03145178332596664,0.0788929448673839,0.2524881587387828,0.12094429564404445,0.8790557043559556
BERT,0.1855605205501292,-0.026529723890259076,0.17839280772569294,0.1855605205501292,0.026529723890259076,0.17839280772569294,0.13016101738869373,0.8698389826113062
ModernBERT,-0.10806147490075149,0.12224735830789209,0.34309494338800145,0.10806147490075149,0.12224735830789209,0.34309494338800145,0.1911345921988817,0.8088654078011183
AraBERT-base,-0.13704989071785728,0.14499427266457832,0.4080861281739469,0.13704989071785728,0.14499427266457832,0.4080861281739469,0.23004343051879417,0.7699565694812058
AraBERT-large,0.65377259212288,0.5066852543185147,0.3029945505645675,0.65377259212288,0.5066852543185147,0.3029945505645675,0.4878174656686541,0.512182534331346
