model,type,cos_V_A,angle_V_A,cos_V_D,angle_V_D,cos_A_D,angle_A_D,mean_abs_cos,orthogonality_score
BERT,original,0.18556052055012945,79.3061862865265,-0.026529723890259208,91.52021957454089,0.17839280772569308,79.72384062009075,0.1301610173886939,0.8698389826113061
BERT,orthogonalized,5.204170427930421e-18,90.0,-3.469446951953615e-18,90.0,1.7347234759768074e-17,90.0,8.673617379884037e-18,1.0
RoBERTa,original,-0.0314517833259667,91.80235167818665,0.07889294486738395,85.4750649825309,0.25248815873878283,75.37520241102,0.12094429564404448,0.8790557043559555
RoBERTa,orthogonalized,1.734723475976807e-18,90.0,-3.642919299551295e-17,90.0,-4.5102810375396984e-17,90.0,2.7755575615628914e-17,1.0
NeoBERT,original,-0.06583727603944015,93.77492850917977,0.08952299128999851,84.86383426811896,0.2009811785188689,78.40565846070471,0.11878048194943584,0.8812195180505642
NeoBERT,orthogonalized,1.474514954580286e-17,90.0,-2.949029909160572e-17,90.0,2.0816681711721685e-17,90.0,2.168404344971009e-17,1.0
ModernBERT,original,-0.10806147490075149,96.20358012001789,0.122247358307892,82.97817817796856,0.34309494338800095,69.93445266777864,0.1911345921988815,0.8088654078011185
ModernBERT,orthogonalized,-6.938893903907227e-18,90.0,-2.7755575615628914e-17,90.0,2.0816681711721682e-17,90.0,1.850371707708594e-17,1.0
AraBERT-base,original,-0.13704989071785698,97.87717188927007,0.14499427266457843,81.66305246816901,0.40808612817394707,65.91533505956333,0.23004343051879417,0.7699565694812058
AraBERT-base,orthogonalized,2.7755575615628914e-17,90.0,1.387778780781446e-17,90.0,-1.170938346284345e-16,90.0,5.290906601729262e-17,1.0
AraBERT-large,original,0.65377259212288,49.17335321564432,0.5066852543185144,59.55671266645874,0.30299455056456776,72.36244812747113,0.487817465668654,0.512182534331346
AraBERT-large,orthogonalized,-1.700029006457271e-16,90.0,4.163336342344337e-17,90.0,-1.3877787807814457e-17,90.0,7.517135062566164e-17,0.9999999999999999
BGE-M3,original,0.17649045571462613,79.83459490368939,-0.04588564739072235,92.62997738654231,0.09400766167889181,84.60579259434365,0.1054612549280801,0.8945387450719199
BGE-M3,orthogonalized,-2.0816681711721688e-17,90.0,3.469446951953614e-17,90.0,-5.3776427755281026e-17,90.0,3.642919299551295e-17,1.0
E5-large-v2,original,0.09812063095322013,84.36904170283862,-0.06795105560425502,93.89631106764416,0.07546692270568559,85.67194896063627,0.08051286975438691,0.9194871302456131
E5-large-v2,orthogonalized,-3.469446951953614e-18,90.0,1.3877787807814457e-17,90.0,-1.3877787807814457e-17,90.0,1.0408340855860843e-17,1.0
Gemma-300M,original,0.012843062372152683,89.26412649942297,0.07877808365285437,85.48166659195888,-0.04135979032722938,92.3704175739335,0.04432697878407881,0.9556730212159212
Gemma-300M,orthogonalized,3.469446951953614e-18,90.0,2.0816681711721688e-17,90.0,-4.3368086899420184e-17,90.0,2.2551405187698495e-17,1.0
OpenAI-3-large,original,0.01712172146652949,89.018949684957,-0.016620599169767953,90.95233403498278,0.10224498817531853,84.13153839853743,0.04532910293720532,0.9546708970627946
OpenAI-3-large,orthogonalized,2.5153490401663703e-17,90.0,6.938893903907227e-18,90.0,-1.2143064331837647e-17,90.0,1.474514954580286e-17,1.0
OpenAI-ada,original,0.08028685433509844,85.39494568329606,0.06323283882242957,86.37460650888875,0.07411106938387678,85.7498518158926,0.07254358751380159,0.9274564124861984
OpenAI-ada,orthogonalized,3.4694469519536134e-18,90.0,-3.295974604355933e-17,90.0,3.4694469519536126e-18,90.0,1.3299546649155518e-17,1.0
Voyage-3-large,original,0.05133640633335677,87.05734709098778,0.04742437447169948,87.28176392889368,0.12914111891179714,82.58003630580238,0.07596729990561779,0.9240327000943822
Voyage-3-large,orthogonalized,3.2959746043559335e-17,90.0,3.1225022567582534e-17,90.0,-1.908195823574488e-17,90.0,2.7755575615628914e-17,1.0
